split,image_name,city
train,vienna32.tif,vienna
train,chicago25.tif,chicago
train,austin23.tif,austin
train,chicago15.tif,chicago
train,austin21.tif,austin
train,chicago1.tif,chicago
train,chicago31.tif,chicago
train,tyrol-w23.tif,tyrol-w
train,chicago32.tif,chicago
train,austin27.tif,austin
train,chicago36.tif,chicago
train,austin4.tif,austin
train,vienna14.tif,vienna
train,austin11.tif,austin
train,tyrol-w19.tif,tyrol-w
train,tyrol-w27.tif,tyrol-w
train,tyrol-w2.tif,tyrol-w
train,vienna24.tif,vienna
train,vienna33.tif,vienna
train,chicago4.tif,chicago
train,kitsap30.tif,kitsap
train,vienna4.tif,vienna
train,austin32.tif,austin
train,kitsap3.tif,kitsap
train,tyrol-w21.tif,tyrol-w
train,vienna1.tif,vienna
train,vienna5.tif,vienna
train,kitsap11.tif,kitsap
train,tyrol-w8.tif,tyrol-w
train,vienna11.tif,vienna
train,austin22.tif,austin
train,chicago24.tif,chicago
train,vienna26.tif,vienna
train,kitsap7.tif,kitsap
train,chicago17.tif,chicago
train,kitsap34.tif,kitsap
train,chicago7.tif,chicago
train,kitsap17.tif,kitsap
train,vienna2.tif,vienna
train,austin1.tif,austin
train,tyrol-w17.tif,tyrol-w
train,austin24.tif,austin
train,tyrol-w36.tif,tyrol-w
train,tyrol-w26.tif,tyrol-w
train,kitsap36.tif,kitsap
train,chicago35.tif,chicago
train,tyrol-w6.tif,tyrol-w
train,kitsap2.tif,kitsap
train,chicago11.tif,chicago
train,tyrol-w30.tif,tyrol-w
train,chicago16.tif,chicago
train,kitsap10.tif,kitsap
train,tyrol-w22.tif,tyrol-w
train,kitsap13.tif,kitsap
train,kitsap4.tif,kitsap
train,vienna20.tif,vienna
train,vienna10.tif,vienna
train,austin12.tif,austin
train,tyrol-w7.tif,tyrol-w
train,austin14.tif,austin
train,tyrol-w24.tif,tyrol-w
train,austin6.tif,austin
train,kitsap16.tif,kitsap
train,kitsap26.tif,kitsap
train,tyrol-w13.tif,tyrol-w
train,vienna21.tif,vienna
train,chicago26.tif,chicago
train,vienna6.tif,vienna
train,tyrol-w32.tif,tyrol-w
train,tyrol-w28.tif,tyrol-w
train,austin7.tif,austin
train,austin26.tif,austin
train,tyrol-w16.tif,tyrol-w
train,vienna22.tif,vienna
train,chicago34.tif,chicago
train,kitsap15.tif,kitsap
train,kitsap5.tif,kitsap
train,kitsap1.tif,kitsap
train,austin34.tif,austin
train,vienna30.tif,vienna
train,tyrol-w3.tif,tyrol-w
train,chicago23.tif,chicago
train,vienna18.tif,vienna
train,austin13.tif,austin
train,tyrol-w20.tif,tyrol-w
train,vienna3.tif,vienna
train,chicago14.tif,chicago
train,kitsap6.tif,kitsap
train,vienna8.tif,vienna
train,vienna12.tif,vienna
train,tyrol-w4.tif,tyrol-w
train,kitsap35.tif,kitsap
train,tyrol-w14.tif,tyrol-w
train,tyrol-w34.tif,tyrol-w
train,vienna9.tif,vienna
train,tyrol-w12.tif,tyrol-w
train,tyrol-w33.tif,tyrol-w
train,kitsap29.tif,kitsap
train,chicago6.tif,chicago
train,austin29.tif,austin
train,vienna25.tif,vienna
train,kitsap14.tif,kitsap
train,austin18.tif,austin
train,kitsap19.tif,kitsap
train,vienna13.tif,vienna
train,kitsap25.tif,kitsap
train,austin8.tif,austin
train,kitsap21.tif,kitsap
train,vienna23.tif,vienna
train,chicago18.tif,chicago
train,chicago2.tif,chicago
train,tyrol-w31.tif,tyrol-w
train,chicago19.tif,chicago
train,kitsap8.tif,kitsap
train,kitsap18.tif,kitsap
train,chicago3.tif,chicago
train,vienna36.tif,vienna
train,chicago20.tif,chicago
train,austin20.tif,austin
train,tyrol-w11.tif,tyrol-w
train,tyrol-w25.tif,tyrol-w
train,tyrol-w10.tif,tyrol-w
train,austin19.tif,austin
train,chicago10.tif,chicago
train,kitsap33.tif,kitsap
train,austin36.tif,austin
val,kitsap20.tif,kitsap
val,tyrol-w35.tif,tyrol-w
val,austin25.tif,austin
val,chicago21.tif,chicago
val,kitsap28.tif,kitsap
val,kitsap12.tif,kitsap
val,austin28.tif,austin
val,kitsap31.tif,kitsap
val,austin5.tif,austin
val,tyrol-w18.tif,tyrol-w
val,austin2.tif,austin
val,chicago5.tif,chicago
val,kitsap24.tif,kitsap
val,kitsap27.tif,kitsap
val,austin31.tif,austin
val,kitsap32.tif,kitsap
val,vienna29.tif,vienna
val,vienna35.tif,vienna
val,kitsap22.tif,kitsap
val,vienna28.tif,vienna
val,chicago12.tif,chicago
val,vienna17.tif,vienna
val,kitsap23.tif,kitsap
val,vienna31.tif,vienna
val,chicago13.tif,chicago
val,austin10.tif,austin
val,chicago9.tif,chicago
test,vienna15.tif,vienna
test,tyrol-w15.tif,tyrol-w
test,chicago28.tif,chicago
test,kitsap9.tif,kitsap
test,vienna34.tif,vienna
test,chicago22.tif,chicago
test,tyrol-w9.tif,tyrol-w
test,vienna7.tif,vienna
test,vienna19.tif,vienna
test,tyrol-w29.tif,tyrol-w
test,chicago30.tif,chicago
test,chicago27.tif,chicago
test,austin30.tif,austin
test,austin16.tif,austin
test,austin17.tif,austin
test,tyrol-w1.tif,tyrol-w
test,vienna16.tif,vienna
test,austin3.tif,austin
test,tyrol-w5.tif,tyrol-w
test,austin33.tif,austin
test,austin9.tif,austin
test,chicago29.tif,chicago
test,chicago33.tif,chicago
test,chicago8.tif,chicago
test,austin15.tif,austin
test,austin35.tif,austin
test,vienna27.tif,vienna
