epoch,train_loss,val_loss,device
1,1.136204490661621,1.1292009139060974,cuda
2,1.020810134212176,1.2627779825528462,cuda
3,0.990376253326734,0.968015410900116,cuda
4,0.9589676340421041,0.9121514423688253,cuda
5,0.9373718212048213,0.9033547933896383,cuda
6,0.8934233202536901,0.8971708607673645,cuda
7,0.8740743484099706,0.8253441429138184,cuda
8,0.8628249555826187,0.7906190379460653,cuda
9,0.8390139333407084,0.861511648495992,cuda
10,0.8250063179930052,0.7264713402589162,cuda
11,0.8013806474208832,0.733968319495519,cuda
12,0.78797393232584,0.8178488934040069,cuda
13,0.76667286247015,0.7749586582183838,cuda
14,0.7551875348885854,0.7452524399757385,cuda
15,0.748651691476504,0.7061717212200165,cuda
16,0.7409889881809553,0.8586882281303406,cuda
17,0.7472568794091543,0.6823951280117035,cuda
18,0.7342651539047559,0.7767527075608571,cuda
19,0.7300467654069265,0.6886788753668467,cuda
20,0.7174222108721733,0.6939236481984457,cuda
